KKR1_ID,x,y,lab_diag,animal
1044,99.22556,19.774288,FMD,"dairy,beef"
1048,99.909424,8.260646,FMD,beef
1056,100.223712,7.807455,FMD,cattle
1057,102.433615,16.837483,FMD,beef
1059,99.523011,8.484912,FMD,bull
1060,99.634016,8.465387,FMD,bull
1061,101.647378,14.637535,FMD,dairy
1064,99.88773,12.68068,FMD,dairy
1066,99.940103,7.813762,FMD,beef
1071,100.103225,19.507243,FMD,dairy
1073,103.713011,15.481558,FMD,cattle
1074,99.954934,13.751397,FMD,dairy
1076,99.87619,8.957557,FMD,dairy
1077,100.181486,19.86532,FMD,dairy
1078,101.458089,15.025027,FMD,"dairy,beef"
1080,99.149849,18.722045,FMD,dairy
1082,100.612148,7.154373,FMD,beef
1086,101.800902,14.634482,FMD,"dairy,beef"
1087,101.271709,14.791818,FMD,dairy
1088,99.88773,12.68068,FMD,dairy
1089,101.802389,14.775345,FMD,"dairy,beef"
1093,101.235373,14.600657,FMD,dairy
1095,99.232173,17.620753,FMD,beef
1097,99.821447,19.672606,FMD,dairy
1099,101.269361,6.829187,FMD,beef
1101,100.100932,6.762388,FMD,beef
1103,100.22378,7.443122,FMD,beef
1106,101.500131,14.712872,FMD,dairy
1109,98.971721,18.467564,FMD,dairy
1110,99.887362,13.679646,FMD,dairy
1111,99.908047,8.533602,FMD,cattle
1112,101.174931,14.582993,FMD,dairy
1114,101.571522,14.70522,FMD,dairy
1115,99.287506,18.599793,FMD,beef
1116,99.483965,17.983177,FMD,beef
1117,104.251415,14.872342,FMD,cattle
1118,101.378162,14.88546,FMD,dairy
1119,100.228801,7.219771,FMD,beef
1120,99.697267,12.309514,FMD,cattle
1121,99.791782,19.814679,FMD,"dairy,beef"
1122,104.30475,15.317054,FMD,beef
1124,104.29248,15.271418,FMD,beef
1126,99.697267,12.309514,FMD,"dairy,beef"
1127,99.728417,11.756724,FMD,cattle
1130,101.038827,15.413869,FMD,beef
1131,100.838372,19.02267,FMD,"dairy,beef"
1133,99.781194,9.177977,FMD,beef
1135,101.378162,14.88546,FMD,dairy
1137,99.380837,17.609025,FMD,beef
1138,101.271343,14.896192,FMD,dairy
1139,100.23137,19.803331,FMD,cattle
1141,104.832476,14.679395,FMD,cattle
1142,104.258171,14.913781,FMD,cattle
1145,101.149996,14.705524,FMD,dairy
1146,99.221283,9.067773,FMD,beef
1147,104.3291,15.036636,FMD,beef
1150,100.23137,19.803331,FMD,dairy
1156,100.23137,19.803331,FMD,dairy
1157,99.697267,12.309514,FMD,dairy
1159,101.271709,14.791818,FMD,dairy
1160,99.88773,12.68068,FMD,cattle
1161,102.769668,16.79124,FMD,dairy
1162,101.706129,14.907236,FMD,dairy
1166,101.378162,14.88546,FMD,dairy
1167,100.219043,7.499046,FMD,beef
1174,100.464775,6.774755,FMD,beef
1176,99.878175,9.010323,FMD,beef
1178,100.094241,7.335248,FMD,cattle
1186,101.454871,14.805326,FMD,dairy
1190,103.0498,16.82716,FMD,dairy
1191,101.378162,14.88546,FMD,dairy
1193,101.454871,14.805326,FMD,dairy
1194,99.312707,18.802048,FMD,dairy
1195,101.454871,14.805326,FMD,dairy
1197,99.961126,17.325024,FMD,dairy
1198,100.369968,7.183022,FMD,beef
1199,99.961126,17.325024,FMD,dairy
1201,99.827597,13.671121,FMD,beef
1203,101.571522,14.70522,FMD,dairy
1205,99.614146,18.090252,FMD,beef
1207,100.128297,7.188618,FMD,beef
